Suffix,Place Name,State,Lat,Long
brook,Mountain Brook,AL,33.5009384,-86.7522107
grove,Mountain Grove,AL,34.0887087,-86.6172148
view,Mountain View,AL,34.305093,-86.2980369
place,Murphree Place,AL,34.6987016,-86.9569515
wood,Myrtlewood,AL,32.2504214,-87.9497371
field,Napier Field,AL,31.3154506,-85.4541013
ham,Needham,AL,31.9879272,-88.3366906
ights,Nelson Heights,AL,33.6023256,-86.711378
ham,New Bingham,AL,32.4693027,-86.1619103
hill,New Hill,AL,33.4184425,-86.9219363
hope,New Hope,AL,31.5529426,-85.8677211
hope,New Hope,AL,33.3265045,-85.4224511
hope,New Hope,AL,33.3592769,-86.7372095
hope,New Hope,AL,33.9806587,-87.818358
hope,New Hope,AL,34.2050965,-86.6411053
town,New Town,AL,34.8734153,-85.8174748
ville,Newtonville,AL,33.5453906,-87.8014047
ville,Nicholsville,AL,32.0082068,-87.9019541
city,Nitrate City,AL,34.7573106,-87.559749
hills,Nolan Hills,AL,34.7098133,-86.7241643
ham,North Birmingham,AL,33.553716,-86.8188798
epark,North Lake Park,AL,33.5962147,-86.7469343
hills,Northwood Hills,AL,34.8550867,-87.6958617
wood,Norwood,AL,33.5339939,-86.7991568
oak,Oak,AL,30.3179784,-87.7063754
ing,Oak Crossing,AL,33.5259379,-86.5460953
grove,Oak Grove,AL,32.5462457,-87.6775082
grove,Oak Grove,AL,33.1917822,-86.2994197
grove,Oak Grove,AL,33.4548324,-87.1536081
grove,Oak Grove,AL,34.9186975,-86.8558363
tates,Oak Grove Estates,AL,33.4589961,-86.8269344
hills,Oak Hills,AL,33.4901067,-86.9022142
epark,Oak Ridge Park,AL,33.5395489,-86.7399888
land,Oakland,AL,34.8275873,-87.0852896
land,Oakland,AL,34.8417541,-87.7989197
ville,Oakville,AL,33.5745483,-86.6980439
wood,Oakwood,AL,33.3906659,-86.9644371
wood,Oakwood,AL,34.746202,-86.6088823
ham,Old Bingham,AL,32.4418036,-86.1302423
town,Old Town,AL,32.2390292,-86.8727616
beach,Orange Beach,AL,30.2943681,-87.5735935
beach,Palmetto Beach,AL,30.2477031,-87.8397131
city,Park City,AL,30.6432468,-87.9122164
place,Park Place,AL,33.4576077,-86.8944359
place,Park Place,AL,33.5573271,-86.8216577
ights,Parker Heights,AL,33.5562153,-86.7513782
tates,Parkway Estates,AL,34.6589801,-86.5741586
wood,Parkwood,AL,33.362333,-86.879435
sburg,Patsburg,AL,31.7865436,-86.2282936
town,Pattersontown,AL,33.3065035,-87.222498
hill,Pauls Hill,AL,33.4123316,-86.9297143
ights,Pawnee Heights,AL,33.6287142,-86.7458236
ville,Payneville,AL,32.6134689,-88.3466986
ham,Pelham,AL,33.2856687,-86.8099885
ights,Pelham Heights,AL,33.732324,-85.8016317
ights,Penfield Heights,AL,33.5942703,-86.7297116
beach,Perdido Beach,AL,30.3407558,-87.5049805
ville,Perryville,AL,33.0212327,-85.8013495
ville,Petersville,AL,34.8553645,-87.691695
ville,Pettusville,AL,34.9717513,-86.9461171
tates,Phillips Estates,AL,33.3476115,-86.9299916
rest,Pine Crest,AL,33.3717778,-86.9869375
grove,Pine Grove,AL,30.713245,-88.1311125
grove,Pine Grove,AL,30.8335198,-87.7411018
grove,Pine Grove,AL,34.0331549,-85.7077424
grove,Pine Grove,AL,32.7162433,-85.2518869
view,Pineview,AL,33.5376045,-86.6816541
city,Pinkney City,AL,33.6273272,-86.9347169
view,Plain View,AL,33.5745486,-86.771379
view,Plainview,AL,31.3673931,-85.6129916
city,Plant City,AL,32.8531841,-85.1907747
ville,Plantersville,AL,33.3698324,-86.2358082
eau,Plateau,AL,30.7362999,-88.0638884
grove,Pleasant Grove,AL,34.268983,-86.3385935
tates,Pleasant Grove Estates,AL,33.4901071,-86.95916
hill,Pleasant Hill,AL,31.0632351,-87.4910937
hill,Pleasant Hill,AL,31.7448867,-85.2335453
hill,Pleasant Hill,AL,33.3309457,-86.9961041
view,Pleasant View,AL,34.2348193,-86.7655548
creek,Poplar Creek,AL,34.7314782,-87.1416812
creek,Poplar Creek,AL,34.7956435,-87.1247357
rings,Poplar Springs,AL,34.4145339,-86.1369231
ham,Port Birmingham,AL,33.5664966,-87.106664
hills,Powderly Hills,AL,33.4645516,-86.8638798
ville,Powellville,AL,33.9084378,-87.0994481
ville,Prattville,AL,32.4640245,-86.4596966
ight,Pull Tight,AL,34.0212132,-87.7847469
town,Queenstown,AL,33.5881591,-86.6210978
town,Quintown,AL,33.6364957,-87.0916648
town,Rabbit Town,AL,34.2798157,-86.2583127
ights,Rainbow Mountain Heights,AL,34.7478686,-86.7144416
bank,Red Bank,AL,34.7673103,-87.3700219
hill,Red Hill,AL,34.2559281,-86.4241525
epark,Redstone Park,AL,34.5973136,-86.5663804
town,Redtown,AL,31.1379543,-87.6324888
town,Reedtown,AL,34.4967617,-87.7416992
land,Richland,AL,31.7329404,-85.7277216
hills,Richmond Hills,AL,34.7278674,-87.7169748
wood,Riderwood,AL,32.1287567,-88.3278042
side,Riverside,AL,34.067597,-86.4933211
side,Riverside,AL,34.09482,-86.6677724
beach,Roberson Beach,AL,34.765366,-87.2866864
rings,Robinson Springs,AL,32.5118012,-86.3766393
wood,Robinwood,AL,33.6151033,-86.7488791
city,Rock City,AL,34.5325865,-85.9502533
rings,Rock Springs,AL,34.1681518,-86.5366566
wood,Rockwood,AL,34.4550956,-87.7847551
ollow,Rocky Hollow,AL,33.7814942,-87.0847226
tates,Roebuck Crest Estates,AL,33.5964924,-86.7016554
rest,Roebuck Forest,AL,33.5831593,-86.681377
plaza,Roebuck Plaza,AL,33.5876036,-86.6599876
rings,Roebuck Springs,AL,33.5770482,-86.7035996
beach,Romar Beach,AL,30.260758,-87.6222059
hill,Rose Hill,AL,31.4493318,-86.3394009
epark,Rose Park,AL,34.8603643,-87.6719723
ights,Russell Heights,AL,33.5534373,-86.5602626
ville,Russellville,AL,34.5078726,-87.7286432
ights,Rutledge Heights,AL,34.7464798,-86.6413835
rings,Rutledge Springs,AL,33.4612191,-86.9474928
land,Ryland,AL,34.7698126,-86.4808227
lair,Saint Clair,AL,32.323472,-86.6166442
salem,Salem,AL,32.350416,-87.2622168
salem,Salem,AL,32.5968028,-85.2385527
salem,Salem,AL,34.9389736,-87.1147346
hill,Sanders Hill,AL,31.7054363,-86.0363403
field,Sandfield,AL,31.9059896,-85.807726
dusky,Sandusky,AL,33.5498279,-86.9002705
ford,Sanford,AL,31.2982254,-86.3891217
city,Sardis City,AL,34.1742616,-86.1227533
ights,Scenic Heights,AL,34.0545411,-86.0338617
city,Scott City,AL,33.5470486,-86.5797074
rings,Sealy Springs,AL,31.0368492,-85.3088215
ight,Searight,AL,31.470998,-86.3932922
field,Sedgefield,AL,32.1837591,-85.704672
ville,Sellersville,AL,31.1298979,-86.0041063
hills,Seven Hills,AL,30.6540805,-88.3030632
brook,Shady Brook,AL,33.3665,-86.9702705
grove,Shady Grove,AL,31.5240526,-86.0377253
grove,Shady Grove,AL,31.6309944,-88.3914085
grove,Shady Grove,AL,33.5931617,-87.0033291
wood,Shadywood,AL,33.577326,-86.6916549
ights,Sherman Heights,AL,33.521495,-86.9052702
ights,Sherman Heights,AL,33.7331575,-85.7980205
rest,Sherwood Forest,AL,34.843698,-87.681695
hiloh,Shiloh,AL,31.7812721,-85.7441116
creek,Short Creek,AL,33.5512189,-87.1013859
ville,Shorterville,AL,31.570169,-85.1013186
